gov_town_code,city,state,latitude,longitude
1356362163,Devanakonda,Andhra Pradesh,15.533300,77.550000
1356346019,Devapur,Andhra Pradesh,19.044300,79.349900
1356067935,Devarapalle,Andhra Pradesh,17.034700,81.561600
1356060197,Devarkonda,Andhra Pradesh,16.691900,78.920700
1356703437,Dhanwada,Andhra Pradesh,16.650000,77.666700
1356763327,Dharmajigudem,Andhra Pradesh,16.900000,81.000000
1356922969,Dharmapuri,Andhra Pradesh,18.947500,79.094000
1356091555,Dharmaram,Andhra Pradesh,18.303800,79.489200
1356379504,Dharmasagaram,Andhra Pradesh,17.993300,79.442800
1356879569,Dharmavaram,Andhra Pradesh,14.430000,77.720000
1356278031,Dhobipet,Andhra Pradesh,17.471600,78.087000
1356669210,Dhone,Andhra Pradesh,15.396000,77.872000
1356799167,Dilawarpur,Andhra Pradesh,19.090800,78.227500
1356550619,Dirusumarru,Andhra Pradesh,16.472200,81.529500
1356959809,Doddipatla,Andhra Pradesh,16.516700,81.843600
1356677299,Domkonda,Andhra Pradesh,18.253600,78.437800
1356352522,Doranala,Andhra Pradesh,15.907600,79.094100
1356805121,Dornakal,Andhra Pradesh,17.444700,80.149200
1356803824,Dowlaiswaram,Andhra Pradesh,16.950600,81.781900
1356061765,Draksharama,Andhra Pradesh,16.792800,82.063500
1356077652,Dubacherla,Andhra Pradesh,16.911600,81.356900
1356243033,Dubak,Andhra Pradesh,18.191400,78.678300
1356373497,Duggirala,Andhra Pradesh,16.328100,80.624300
1356684448,Dundigal,Andhra Pradesh,17.578100,78.428800
1356099514,Durgi,Andhra Pradesh,16.424200,79.492800
1356026765,Durpalli,Andhra Pradesh,18.596700,78.451700
1356394587,Duvva,Andhra Pradesh,16.779200,81.624200
1356883583,Duvvuru,Andhra Pradesh,14.833300,78.650000
1356593881,Edlapadu,Andhra Pradesh,16.168600,80.227500
1356488805,Elchuru,Andhra Pradesh,16.081300,79.926900
1356080600,Elesvaram,Andhra Pradesh,17.283300,82.100000
1356131239,Ellamanda,Andhra Pradesh,16.184700,80.054600
1356931882,Ellore,Andhra Pradesh,16.711700,81.103100
1356364562,Elurupadu,Andhra Pradesh,16.516700,81.350000
1356089591,Emmiganur,Andhra Pradesh,15.733300,77.483300
1356945614,Enamadala,Andhra Pradesh,16.228100,80.330600
1356156404,Enumulapalle,Andhra Pradesh,14.144600,77.816600
1356062617,Ernagudem,Andhra Pradesh,17.002000,81.506300
1356007553,Erraballa,Andhra Pradesh,14.397100,78.174400
1356579088,Erragondapalem,Andhra Pradesh,16.039700,79.304300
1356180347,Erraguntla,Andhra Pradesh,14.633300,78.533300
1356051675,Erraguntlakota,Andhra Pradesh,13.962200,79.276800
1356358551,Erravaram,Andhra Pradesh,17.545800,82.843300
1356373389,Farrukhnagar,Andhra Pradesh,17.077800,78.201100
1356055274,Gadda Madiral,Andhra Pradesh,18.751900,79.513300
1356741221,Gadwal,Andhra Pradesh,16.230000,77.800000
1356985510,Gajwel,Andhra Pradesh,17.851700,78.682800
1356039134,Galivedu,Andhra Pradesh,14.033300,78.500000
1356029973,Ganapavaram,Andhra Pradesh,16.123300,80.172100
1356054707,Ganaram,Andhra Pradesh,18.527500,78.245000
1356140911,Gandhari,Andhra Pradesh,18.393200,78.117400
1356404723,Gandikunta,Andhra Pradesh,16.169900,80.944300
1356354351,Gandlapenta,Andhra Pradesh,14.050000,78.308900
1356944244,Gangadhar,Andhra Pradesh,18.588300,79.011000
1356582081,Gangammapeta,Andhra Pradesh,18.333000,84.050000
1356991878,Gangapatnam,Andhra Pradesh,14.523700,80.152100
1356095742,Ganguru,Andhra Pradesh,16.483300,80.733300
1356037826,Gannavaram,Andhra Pradesh,16.533300,80.800000
1356629147,Garsekurti,Andhra Pradesh,18.508300,78.977400
1356521862,Gatada,Andhra Pradesh,18.284400,83.540600
1356605250,Gaunivaripalle,Andhra Pradesh,13.975600,77.876800
1356149556,Gavinivaripalem,Andhra Pradesh,15.837800,80.431500
1356859017,Gazulapalle,Andhra Pradesh,15.403600,78.617600
1356200566,Ghambiraopet,Andhra Pradesh,18.300000,78.583300
1356275268,Ghanpur,Andhra Pradesh,17.498900,78.222500
1356365517,Ghatkesar,Andhra Pradesh,17.449400,78.685300
1356122664,Ghattu,Andhra Pradesh,13.660200,78.333100
1356584169,Ghattupal,Andhra Pradesh,17.072500,78.923900
1356420019,Giddalur,Andhra Pradesh,15.378400,78.926500
1356790353,Gokavaram,Andhra Pradesh,17.266700,81.850000
1356874906,Gokinepalle,Andhra Pradesh,16.922800,79.782800
1356196346,Golet,Andhra Pradesh,19.239000,79.389100
1356024704,Gollalagunta,Andhra Pradesh,17.167200,82.284700
1356285137,Gollapudi,Andhra Pradesh,16.541200,80.578400
1356653197,Gondalga,Andhra Pradesh,17.509700,80.159400
1356039774,Gonegandla,Andhra Pradesh,15.717000,77.600000
1356133077,Gooty,Andhra Pradesh,15.121000,77.634000
1356393154,Gopalapuram,Andhra Pradesh,17.100700,81.540600
1356037338,Gopavaram,Andhra Pradesh,14.784100,78.572900
1356060409,Gorantla,Andhra Pradesh,13.989200,77.770300
1356092784,Govindapalle,Andhra Pradesh,15.352500,78.522400
1356253682,Govindapuram,Andhra Pradesh,16.154800,80.102700
1356759026,Gudibanda,Andhra Pradesh,13.975300,77.104600
1356038669,Gudikallu,Andhra Pradesh,15.744100,77.476000
1356158755,Gudimulakhandrika,Andhra Pradesh,16.409000,81.803000
1356150052,Gudipallipadu,Andhra Pradesh,14.458800,80.048200
1356068699,Gudivada,Andhra Pradesh,16.430000,80.990000
1356111288,Gudlavalleru,Andhra Pradesh,16.350000,81.050000
1356940042,Gudluru,Andhra Pradesh,15.072900,79.901200
1356336545,Gudur,Andhra Pradesh,14.147300,79.847700
1356895039,Guduru,Andhra Pradesh,15.774800,77.807400
1356714085,Gulyam,Andhra Pradesh,15.359800,77.067000
1356669358,Gundi,Andhra Pradesh,18.623700,79.092300
1356048740,Gundlapelle,Andhra Pradesh,16.410200,79.881300
1356127506,Gundrajukuppam,Andhra Pradesh,13.340600,79.568700
1356974157,Gundugolanu,Andhra Pradesh,16.783300,81.233300
1356416314,Gundumal,Andhra Pradesh,16.893900,77.711200
1356600224,Gunjapalle,Andhra Pradesh,14.384500,77.949500
1356140724,Guntakal,Andhra Pradesh,15.170000,77.380000
1356011161,Guntakal Junction,Andhra Pradesh,15.120000,77.630000
1356594674,Guntapalli,Andhra Pradesh,14.738500,79.040000
1356737697,Guntupalle,Andhra Pradesh,16.568100,80.547500
1356374905,Guntur,Andhra Pradesh,16.300800,80.442800
1356284759,Gurramkonda,Andhra Pradesh,13.783300,78.583300
1356810152,Gurrampod,Andhra Pradesh,16.866700,79.116700
1356361552,Guruzala,Andhra Pradesh,16.580000,79.570000
1356145475,Guttikonda,Andhra Pradesh,16.430000,79.834000
1356376565,Hamsavaram,Andhra Pradesh,17.293800,82.494200
1356821355,Hasanparti,Andhra Pradesh,18.068100,79.523600
1356543424,Hemavati,Andhra Pradesh,14.023200,76.995000
1356805611,Hindupur,Andhra Pradesh,13.830000,77.490000
1356683859,Hiramandalam,Andhra Pradesh,18.670800,83.950500
1356305689,Hirehaluhosahalli,Andhra Pradesh,15.010500,76.836000
1356635083,Hissaramuruvani,Andhra Pradesh,15.771000,77.419400
1356510446,Holalagondi,Andhra Pradesh,15.487300,77.046400
1356601160,Honwada,Andhra Pradesh,16.811100,77.919900
1356348864,Hosuru,Andhra Pradesh,15.379700,77.459800
1356546891,Husnabad,Andhra Pradesh,17.066700,77.650000
1356139547,Huzurabad,Andhra Pradesh,18.200000,79.420000
1356954462,Huzurnagar,Andhra Pradesh,16.900000,79.883300
1356313323,Ibrahimpatan,Andhra Pradesh,17.101700,78.629400
1356450270,Ibrahimpatnam,Andhra Pradesh,16.605600,80.378600
1356662616,Ichchapuram,Andhra Pradesh,19.120000,84.700000
1356489123,Ichora,Andhra Pradesh,19.433300,78.466700
1356920399,Idupugallu,Andhra Pradesh,16.460900,80.754300
1356911251,Imani,Andhra Pradesh,16.330200,80.658000
1356876515,Indalvai,Andhra Pradesh,18.540300,78.224800
1356073625,Indurti,Andhra Pradesh,18.223300,79.135500
1356195310,Ingurti,Andhra Pradesh,17.669500,79.800300
1356980783,Inkollu,Andhra Pradesh,15.830000,80.200000
1356119522,Inole,Andhra Pradesh,17.868200,79.554500
1356151123,Ippagudem,Andhra Pradesh,17.766800,79.375100
1356927056,Iskapalem,Andhra Pradesh,14.541600,79.892500
1356031605,Iskapalli,Andhra Pradesh,14.736300,80.098100
1356470546,Isnapuram,Andhra Pradesh,17.544300,78.348600
1356306377,Itamukkala,Andhra Pradesh,15.373100,80.113000
1356091263,Itikalapalle,Andhra Pradesh,14.601300,77.658200
1356617908,Ittikelakunta,Andhra Pradesh,16.679700,81.709400
1356187321,Jadcherla,Andhra Pradesh,16.766700,78.150000
1356578072,Jaggampeta,Andhra Pradesh,17.183300,82.050000
1356537421,Jaggayyapeta,Andhra Pradesh,16.892000,80.097600
1356368347,Jaggisettigudem,Andhra Pradesh,17.116700,81.300000
1356464422,Jajireddigudem,Andhra Pradesh,17.327800,79.571100
1356094746,Jaladurgam,Andhra Pradesh,15.284000,77.900100
1356039997,Jami,Andhra Pradesh,18.045800,83.266400
1356570935,Jamikunta,Andhra Pradesh,18.286400,79.476100
1356030028,Jammalamadugu,Andhra Pradesh,14.850000,78.380000
1356032942,Janakammapeta,Andhra Pradesh,14.884000,79.911000
1356780398,Janapadu,Andhra Pradesh,16.461700,79.869900
1356096265,Jangalapalle,Andhra Pradesh,14.884400,79.910700
1356005015,Jangamguda,Andhra Pradesh,17.509200,78.554200
1356403400,Jangaon,Andhra Pradesh,17.722700,79.151800
1356065255,Jangid,Andhra Pradesh,18.447500,79.841400
1356799113,Jankampet,Andhra Pradesh,18.706700,78.023300
1356104777,Jidigunta,Andhra Pradesh,16.909800,81.855300
1356361410,Jiyyammavalasa,Andhra Pradesh,18.790000,83.601000
1356188487,Jogipet,Andhra Pradesh,17.835600,78.068100
1356935484,Jonnagiri,Andhra Pradesh,15.230300,77.571400
1356086007,Kachavaram,Andhra Pradesh,16.570000,79.675000
1356024464,Kadimetla,Andhra Pradesh,15.737600,77.538500
1356308559,Kadiri,Andhra Pradesh,14.120000,78.170000
1356333354,Kadiyadda,Andhra Pradesh,16.877400,81.514900
1356803625,Kadiyam,Andhra Pradesh,16.916700,81.833300
1356743819,Kaikalur,Andhra Pradesh,16.566700,81.200000
1356164040,Kaikaram,Andhra Pradesh,16.812000,81.366000
1356573609,Kakinada,Andhra Pradesh,16.966100,82.255000
1356669495,Kakkalapalle,Andhra Pradesh,14.641500,77.566800
1356112947,Kalakada,Andhra Pradesh,13.816700,78.800000
1356638870,Kalavapudi,Andhra Pradesh,16.462300,81.388700
1356149475,Kalicherla,Andhra Pradesh,13.883300,78.533300
1356592994,Kalikiri,Andhra Pradesh,13.633300,78.800000
1356970385,Kalipatnam,Andhra Pradesh,16.390400,81.529500
1356501492,Kallur,Andhra Pradesh,17.200000,80.550000
1356411831,Kalluru,Andhra Pradesh,15.816200,78.028900
1356719331,Kaluvaya,Andhra Pradesh,14.511700,79.410100
1356100988,Kalwakurti,Andhra Pradesh,16.650000,78.480000
1356922416,Kalyandrug,Andhra Pradesh,14.550000,77.100000
1356435309,Kamalapuram,Andhra Pradesh,14.598300,78.669400
1356269111,Kamanpur,Andhra Pradesh,18.666700,79.500000
1356010343,Kamareddipet,Andhra Pradesh,18.320500,78.337000
1356057733,Kamavarapukota,Andhra Pradesh,17.003300,81.195300
1356132175,Kambaduru,Andhra Pradesh,14.357500,77.218600
1356648635,Kambhampadu,Andhra Pradesh,16.982200,80.656700
1356603499,Kamepalle,Andhra Pradesh,16.519100,79.835000
1356156655,Kanchanpalli,Andhra Pradesh,17.742700,79.312800
1356407030,Kanchika,Andhra Pradesh,16.412500,80.232300
1356652397,Kandanati,Andhra Pradesh,15.699700,77.475700
1356179414,Kandukur,Andhra Pradesh,15.216700,79.904200
1356995894,Kandulapuram,Andhra Pradesh,15.597600,79.136500
1356028771,Kanekallu,Andhra Pradesh,14.886400,77.031700
1356020350,Kanigiri,Andhra Pradesh,15.400000,79.516700
1356869127,Kankanalapalle,Andhra Pradesh,15.992300,79.484800
1356836923,Kankipadu,Andhra Pradesh,16.450000,80.783300
1356661175,Kannal,Andhra Pradesh,18.693800,79.428800
1356720379,Kanteru,Andhra Pradesh,16.390600,80.542500
1356304297,Kapra,Andhra Pradesh,17.485900,78.565100
1356913774,Karanchedu,Andhra Pradesh,15.882300,80.317000
1356640136,Karankot,Andhra Pradesh,17.286600,77.564400
1356018044,Karapa,Andhra Pradesh,16.900000,82.166700
1356898210,Karedu,Andhra Pradesh,15.183300,80.066700
1356058281,Karempudi,Andhra Pradesh,16.433300,79.716700
1356578937,Karimnagar,Andhra Pradesh,18.438600,79.128800
1356463901,Karlapalem,Andhra Pradesh,15.933300,80.550000
1356243834,Karvetnagar,Andhra Pradesh,13.416700,79.450000
1356731748,Kasimkota,Andhra Pradesh,17.673600,82.963400
1356570574,Kathevaram,Andhra Pradesh,16.260800,80.636800
1356074807,Katravulapalle,Andhra Pradesh,17.127700,82.083100
1356540764,Kattamuru,Andhra Pradesh,17.080000,82.130000
1356548910,Katteragandla,Andhra Pradesh,15.009100,78.958400
1356069667,Kattipudi,Andhra Pradesh,17.250000,82.333300
1356642546,Kautalam,Andhra Pradesh,15.771000,77.124000
1356816305,Kavali,Andhra Pradesh,14.913000,79.992900
1356984645,Kaviti,Andhra Pradesh,19.016700,84.683300
1356130169,Kaza,Andhra Pradesh,16.388700,80.541200
1356260742,Kesamudram,Andhra Pradesh,17.687500,79.894400
1356007170,Khammam,Andhra Pradesh,17.247300,80.151400
1356522803,Khanapur,Andhra Pradesh,19.033300,78.666700
1356812667,Kirikera,Andhra Pradesh,13.769000,77.484100
1356313374,Kirlampudi,Andhra Pradesh,17.191900,82.182500
1356998500,Kisara,Andhra Pradesh,17.523300,78.667700
1356852582,Kodad,Andhra Pradesh,16.997800,79.965300
1356660322,Kodavatipudi,Andhra Pradesh,17.488700,82.604600
1356090415,Kodigenahalli,Andhra Pradesh,13.860800,77.479200
1356078012,Kodmial,Andhra Pradesh,18.633300,78.900000
1356171101,Kodumur,Andhra Pradesh,15.683300,77.783300
1356970656,Koduru,Andhra Pradesh,13.869200,77.729800
1356187490,Koheda,Andhra Pradesh,18.170900,79.093400
1356364942,Kohir,Andhra Pradesh,17.600000,77.716700
1356024299,Koilkuntla,Andhra Pradesh,15.233300,78.316700
1356745224,Kolakaluru,Andhra Pradesh,16.303600,80.617200
1356542725,Kolanpak,Andhra Pradesh,17.694200,79.034800
1356220875,Kolattur,Andhra Pradesh,13.329500,79.479700
1356510810,Kollipara,Andhra Pradesh,16.287700,80.751900
1356157661,Kolluru,Andhra Pradesh,16.183300,80.800000
1356969014,Kolnur,Andhra Pradesh,18.509500,79.426000
1356220684,Kolumalapalle,Andhra Pradesh,15.477400,78.129300
1356768871,Komarolu,Andhra Pradesh,15.266700,79.000000
1356214076,Kommuru,Andhra Pradesh,16.066700,80.366700
1356654785,Kompalle,Andhra Pradesh,17.499300,78.458300
1356280772,Konakondla,Andhra Pradesh,15.105300,77.364000
1356757655,Kondakindi Agraharam,Andhra Pradesh,14.679000,77.740100
1356709178,Kondakomarla,Andhra Pradesh,14.067800,77.956100
1356354397,Kondapalle,Andhra Pradesh,16.616700,80.533300
1356766779,Kondaparti,Andhra Pradesh,17.921900,79.537300
1356149548,Kondrukota,Andhra Pradesh,17.171700,81.831700
1356404958,Konduru,Andhra Pradesh,16.678000,80.573000
1356752751,Konidena,Andhra Pradesh,16.015600,80.057000
1356227566,Konkavaripalle,Andhra Pradesh,13.712500,78.486100
1356362428,Koppaka,Andhra Pradesh,16.749400,81.031100
1356666939,Kopparam,Andhra Pradesh,16.084100,79.987400
1356572353,Koppunur,Andhra Pradesh,16.486700,79.331800
1356182344,Korangal,Andhra Pradesh,17.107000,77.627000
1356581279,Koratla,Andhra Pradesh,18.821500,78.711900
